"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Nerding out at @ets_conference. About to watch a panel: ""Disaster Management and the Texas Energy System""... #TXenergy",FALSE,0,NA,2015-03-26 19:16:59,FALSE,NA,"581173015616069632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jmalewitz",0,FALSE,FALSE,NA,NA
"2","Enjoy the live #ETS15 stream of the closing day! http://t.co/IVOwY2ebUt",FALSE,0,NA,2015-03-26 19:05:49,FALSE,NA,"581170208397754370",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"3","What will next-generation #energy systems look like? PwC’s Brian Carey moderates at @ets_conference on 3/26: http://t.co/4UK4Bor74Q",FALSE,0,NA,2015-03-26 18:43:39,FALSE,NA,"581164628853542912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Darbabcock",0,FALSE,FALSE,NA,NA
"4","@EKillingerNRG @ets_conference @PattyDurandSGCC @yoavlurie That should be very interesting. Very excited for you.",FALSE,0,"EKillingerNRG",2015-03-26 18:21:58,FALSE,"581119129886662656","581159172760317952","2423011819","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mynewmama",0,FALSE,FALSE,NA,NA
"5","Enbala CEO Bud Vos joined an esteemed panel of speakers today at the @ets_conference to talk about how energy drives social sustainability.",FALSE,0,NA,2015-03-26 17:33:23,FALSE,NA,"581146946678743040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Enbala",0,FALSE,FALSE,NA,NA
"6","@ets_conference  enjoying all of the inspirational talks and networking! #ets15 http://t.co/MWo59MZsEV",FALSE,0,"ets_conference",2015-03-26 17:23:06,FALSE,NA,"581144357647962112","2181263006","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimpTek",0,FALSE,FALSE,"0","0"
"7","http://t.co/fdzxD7FBiW",FALSE,0,NA,2015-03-26 16:52:45,FALSE,NA,"581136719845691392",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"8","RT @postfossilcom: @ets_conference @UtilitySolar @SEIA - Future of Renewable Energy panel w/ RES, Austin Energy, GM, etc. explore solar. ht…",FALSE,0,NA,2015-03-26 16:48:16,FALSE,NA,"581135591842193408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UtilitySolar",1,TRUE,FALSE,NA,NA
"9","RT @postfossilcom: @ets_conference @UtilitySolar - Larry Weis, CEO of Austin Energy, briefs ETS15 crowd on AE solar initiatives. http://t.c…",FALSE,0,NA,2015-03-26 16:47:18,FALSE,NA,"581135347314212865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UtilitySolar",1,TRUE,FALSE,NA,NA
"10","Excellent talk by @ThomasSiebel @ets_conference #ETS15 @C3Energy @smartenergystr",FALSE,0,NA,2015-03-26 16:34:30,FALSE,NA,"581132128328400896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smartenergystr",0,FALSE,FALSE,NA,NA
