"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","In August, ""I was getting 100% of my #energy from #solar. I actually sent 5kwh back to the #grid."" -@jbwellinghoff #ETS15 #smartcities",FALSE,1,NA,2015-03-26 19:25:19,FALSE,NA,"581175112076001281",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",0,FALSE,FALSE,NA,NA
"2","#ets15 video of a robot that displays anthropomorphic animation (body language). She sings, dances, &amp; answers Q's. http://t.co/1n3U2KHwxi",FALSE,0,NA,2015-03-26 19:24:58,FALSE,NA,"581175023731388416",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","PattyDurandSGCC",0,FALSE,FALSE,NA,NA
"3","Every 3 minutes, someone installs a rooftop #solar panel to off-set #energy costs -@JBWellinghoff #ETS15 http://t.co/PPWpw8qedO",FALSE,0,NA,2015-03-26 19:20:43,FALSE,NA,"581173957849649152",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",0,FALSE,FALSE,NA,NA
"4","RT @PattyDurandSGCC: Cognitive systems are able to learn their behavior through education and that evolve as they experience new informatio…",FALSE,0,NA,2015-03-26 19:07:13,FALSE,NA,"581170557007187968",NA,"<a href=""http://www.releaseteam.ca"" rel=""nofollow"">rtltd</a>","ReleaseTEAMLTD",1,TRUE,FALSE,NA,NA
"5","RT @PattyDurandSGCC: #ETS15 Cognitive computing is done at enormous scale. During  Jeopardy, IBM's Watson used over 100 million web pages w…",FALSE,0,NA,2015-03-26 19:07:12,FALSE,NA,"581170555870572544",NA,"<a href=""http://www.releaseteam.ca"" rel=""nofollow"">rtltd</a>","ReleaseTEAMLTD",1,TRUE,FALSE,NA,NA
"6","Rob High @IBMWatson  presenting the big picture of #cognitivecomputing ! #ETS15 http://t.co/6mB29609u5",FALSE,0,NA,2015-03-26 19:06:13,FALSE,NA,"581170307492225024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gridmates",0,FALSE,FALSE,NA,NA
"7","Enjoy the live #ETS15 stream of the closing day! http://t.co/IVOwY2ebUt",FALSE,0,NA,2015-03-26 19:05:49,FALSE,NA,"581170208397754370",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ets_conference",0,FALSE,FALSE,NA,NA
"8","#ETS15 Cognitive computing is done at enormous scale. During  Jeopardy, IBM's Watson used over 100 million web pages worth of information.",FALSE,0,NA,2015-03-26 19:05:14,FALSE,NA,"581170059357396992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PattyDurandSGCC",1,FALSE,FALSE,NA,NA
"9","Cognitive systems are able to learn their behavior through education and that evolve as they experience new information. #ETS15 IBM Watson",FALSE,0,NA,2015-03-26 19:02:37,FALSE,NA,"581169402122518529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PattyDurandSGCC",1,FALSE,FALSE,NA,NA
"10","#ETS15 IBM Watson on jeopardy was not a publicity stunt, it was meant to show how computing systems can assist humans - IBM's Rob High.",FALSE,0,NA,2015-03-26 19:00:35,FALSE,NA,"581168888827809794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PattyDurandSGCC",0,FALSE,FALSE,NA,NA
"11","RT @Siemens_SG: Most U.S. citizens are not familiar with the terms ""smart grid"" &amp; ""smart meter"" - @PattyDurandSGCC #ETS15",FALSE,0,NA,2015-03-26 18:48:39,FALSE,NA,"581165887346069505",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","jesuscalderon",0,FALSE,FALSE,NA,NA
"12","RT @austinenergy: Our customer-owned #solar systems to date. We're seeing increased demand for solar. #ETS15 http://t.co/UMdRJbM9p1",FALSE,0,NA,2015-03-26 18:46:15,FALSE,NA,"581165284150611968",NA,"<a href=""http://nagwtweets.measuredvoice.com"" rel=""nofollow"">Great NAGW Tweets</a>","GreatNAGWTweets",5,TRUE,FALSE,NA,NA
"13","What will next-generation #energy systems look like? PwC’s Brian Carey moderates at @ets_conference on 3/26: http://t.co/4UK4Bor74Q",FALSE,0,NA,2015-03-26 18:43:39,FALSE,NA,"581164628853542912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Darbabcock",0,FALSE,FALSE,NA,NA
"14","RT @DirectEnergy: Yes, we want you to use less. Really, really. CEO Badar Khan: ""At Direct Energy, success means our customers use less ene…",FALSE,0,NA,2015-03-26 18:34:27,FALSE,NA,"581162313748615168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JessicaLennard",9,TRUE,FALSE,NA,NA
"15","RT @Siemens_SG: ""Competition will bring about innovation in our industry"" -Badar Kahn #ETS15 http://t.co/OSGy5x7IRl",FALSE,0,NA,2015-03-26 18:34:19,FALSE,NA,"581162281003712512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JessicaLennard",3,TRUE,FALSE,NA,NA
"16","Enjoying a great talk on #Megatrand Convergence by @JBWellinghoff #ETS15",FALSE,0,NA,2015-03-26 18:33:52,FALSE,NA,"581162163903037440",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",0,FALSE,FALSE,NA,NA
"17","RT @SmartGridMan: #ets15 I'd rather listen to one Charles Goodenough for the two days than scores of investment bankers and incumbent busin…",FALSE,0,NA,2015-03-26 18:33:43,FALSE,NA,"581162126955319296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",1,TRUE,FALSE,NA,NA
"18","Nina nailed it <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> #ets15",FALSE,1,NA,2015-03-26 18:27:27,FALSE,NA,"581160552770174977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FatimaMahmoud_",0,FALSE,FALSE,NA,NA
"19","Being grown ups at the Energy Thought Summit, somewhat.  #ets15 @ AT&amp;T Executive Education and… https://t.co/nu92GPgcZo",FALSE,0,NA,2015-03-26 18:24:37,FALSE,NA,"581159838752833536",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Krystal_Joseph",0,FALSE,FALSE,"-97.74050557","30.28195902"
"20","RT @Siemens_SG: Most U.S. citizens are not familiar with the terms ""smart grid"" &amp; ""smart meter"" - @PattyDurandSGCC #ETS15",FALSE,0,NA,2015-03-26 18:22:16,FALSE,NA,"581159246533943298",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dcfusion1",3,TRUE,FALSE,NA,NA
"21","Battle zwischen Elias und Prof. Neubauer <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #ets15",FALSE,0,NA,2015-03-26 18:10:06,FALSE,NA,"581156184398409728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FatimaMahmoud_",0,FALSE,FALSE,NA,NA
"22","Customer markets are evolving! Catch #ETS15's talk w/ @EKillingerNRG @PattyDurandSGCC @yoavlurie &amp; #GrahamRichard http://t.co/RDtQaXIFtT #NE",FALSE,0,NA,2015-03-26 18:05:39,FALSE,NA,"581155063952982017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NarrativeEdge",0,FALSE,FALSE,NA,NA
"23","Elias rockt die Bühne <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> #ets15",FALSE,0,NA,2015-03-26 18:03:23,FALSE,NA,"581154495884853248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FatimaMahmoud_",0,FALSE,FALSE,NA,NA
