"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","A self-powered #InternetofThings thanks to #EnergyHarvesting - #WhitePaper Download: http://t.co/Ft34w6Yl6T http://t.co/x5jRoGPO3i",FALSE,1,NA,2015-04-25 01:53:13,FALSE,NA,"591781978208346112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlueSky_Center",0,FALSE,FALSE,"0","0"
"2","RT @bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digital…",FALSE,0,NA,2015-04-25 00:53:11,FALSE,NA,"591766872015646721",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","hearablereviews",5,TRUE,FALSE,NA,NA
"3","RT @bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digital…",FALSE,0,NA,2015-04-25 00:41:32,FALSE,NA,"591763941853769728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mehmetarifbay",5,TRUE,FALSE,NA,NA
"4","JobberTechTalk: RT bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech …",FALSE,0,NA,2015-04-25 00:17:35,FALSE,NA,"591757913871536130",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","byod_news",0,FALSE,FALSE,NA,NA
"5","Tech_Sharer: RT bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/BUGpxMqCnn…",FALSE,0,NA,2015-04-25 00:17:33,FALSE,NA,"591757905411604481",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","byod_news",0,FALSE,FALSE,NA,NA
"6","bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/BUGpxMqCnn #IoT #digitalli…",FALSE,0,NA,2015-04-25 00:17:33,FALSE,NA,"591757904337883137",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","byod_news",0,FALSE,FALSE,NA,NA
"7","RT @bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digital…",FALSE,0,NA,2015-04-25 00:17:11,FALSE,NA,"591757810481831936",NA,"<a href=""http://137.116.45.123"" rel=""nofollow"">TwtFx</a>","thejoethurman",5,TRUE,FALSE,NA,NA
"8","RT @bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digital…",FALSE,0,NA,2015-04-25 00:16:53,FALSE,NA,"591757737022763009",NA,"<a href=""http://137.116.45.123"" rel=""nofollow"">TwtFx</a>","JobberTechTalk",5,TRUE,FALSE,NA,NA
"9","RT @EnergyCisco: #CERAWeek takeaway: Cyber attacks on #energy firms are increasing. Are you ready to combat them? http://t.co/ZF0XHZJ8ZD #c…",FALSE,0,NA,2015-04-25 00:15:08,FALSE,NA,"591757294884499456",NA,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","CiscoIoE",1,TRUE,FALSE,NA,NA
"10","RT @bay_pm: Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digital…",FALSE,0,NA,2015-04-25 00:15:02,FALSE,NA,"591757272738439169",NA,"<a href=""http://kyroskoh.com"" rel=""nofollow"">TechSharer</a>","Tech_Sharer",5,TRUE,FALSE,NA,NA
"11","Energy-generating clothes and smart lights join the Internet of Things | euronews, hi-tech http://t.co/Vc9G2VoQHp #IoT #digitallife #tech",FALSE,8,NA,2015-04-25 00:14:38,FALSE,NA,"591757170510704641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bay_pm",5,FALSE,FALSE,NA,NA
"12","Energy Harvesting: How We'll Build the Internet of Perpetual Things http://t.co/beMr23bEdb",FALSE,0,NA,2015-04-24 23:13:41,FALSE,NA,"591741833903902720",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","JosephWei",0,FALSE,FALSE,NA,NA
"13","The Street: Forget the Internet of Things, Focus on Internet of Energy http://t.co/fYxJpIAKYn #Iot #energy",FALSE,1,NA,2015-04-24 23:01:03,FALSE,NA,"591738651526045696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SparkSpotterIoE",0,FALSE,FALSE,NA,NA
"14","RT @rmelody: Forget the Internet of Things, Focus on Internet of Energy http://t.co/dLq4GjJDDH http://t.co/PTXn0wwd3N",FALSE,0,NA,2015-04-24 22:26:56,FALSE,NA,"591730067417538560",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jacquesbarcia",4,TRUE,FALSE,NA,NA
"15","RT @rmelody: Forget the Internet of Things, Focus on Internet of Energy http://t.co/dLq4GjJDDH http://t.co/PTXn0wwd3N",FALSE,0,NA,2015-04-24 22:22:05,FALSE,NA,"591728845683699712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WWJRHRD",4,TRUE,FALSE,NA,NA
"16","RT @rmelody: Forget the Internet of Things, Focus on Internet of Energy http://t.co/dLq4GjJDDH http://t.co/PTXn0wwd3N",FALSE,0,NA,2015-04-24 22:20:07,FALSE,NA,"591728353398419457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Regan_George",4,TRUE,FALSE,NA,NA
"17","RT @rmelody: Forget the Internet of Things, Focus on Internet of Energy http://t.co/dLq4GjJDDH http://t.co/PTXn0wwd3N",FALSE,0,NA,2015-04-24 21:36:13,FALSE,NA,"591717306046091264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","novia_novia98",4,TRUE,FALSE,NA,NA
"18","#IBM #Analytics from the Internet of Things: working to make energy smarter http://t.co/tvO1u15ClG #IoT",FALSE,1,NA,2015-04-24 21:30:10,FALSE,NA,"591715781974556672",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","StevenMJohnston",0,FALSE,FALSE,NA,NA
"19","Forget the Internet of Things, Focus on Internet of Energy http://t.co/dLq4GjJDDH http://t.co/PTXn0wwd3N",FALSE,2,NA,2015-04-24 21:21:51,FALSE,NA,"591713690472345600",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","rmelody",4,FALSE,FALSE,NA,NA
"20","RT @SchrockWaveDave: Rejoin just teamed up with Ayla to help make more Energy-Aware Buildings https://t.co/QCjMvFmhYm",FALSE,0,NA,2015-04-24 20:14:23,FALSE,NA,"591696710914732032",NA,"<a href=""http://my.birdfarm.ru"" rel=""nofollow"">My super</a>","WwwL1negen22",3,TRUE,FALSE,NA,NA
"21","RT @TXInstruments: Improved energy efficiency – one of the benefits of the Industrial #IoT. Read more on the #IIoT here: http://t.co/vW5lcm…",FALSE,0,NA,2015-04-24 19:56:04,FALSE,NA,"591692100518838272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","19bq91",6,TRUE,FALSE,NA,NA
"22","Forget the Internet of Things, Focus on Internet of Energy http://t.co/FyC7AUXQ3O via @TheStreet",FALSE,0,NA,2015-04-24 19:37:40,FALSE,NA,"591687469600354304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IoTembsys",0,FALSE,FALSE,NA,NA
"23","RT @MikeBoudreaux: How the Industrial Internet of Things Impacts Emerson: The Next Generation of Manufacturing http://t.co/qoya0HAfEh via @…",FALSE,0,NA,2015-04-24 19:33:54,FALSE,NA,"591686522375643136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ofs_energy",2,TRUE,FALSE,NA,NA
"24","RT @TXInstruments: Improved energy efficiency – one of the benefits of the Industrial #IoT. Read more on the #IIoT here: http://t.co/vW5lcm…",FALSE,0,NA,2015-04-24 19:26:18,FALSE,NA,"591684610599313408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LanmarkControls",6,TRUE,FALSE,NA,NA
"25","RT @TXInstruments: Improved energy efficiency – one of the benefits of the Industrial #IoT. Read more on the #IIoT here: http://t.co/vW5lcm…",FALSE,0,NA,2015-04-24 19:23:47,FALSE,NA,"591683976114401281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LucisTech",6,TRUE,FALSE,NA,NA
